gen,split,episode,avg_tps,avg_reward
59,test,60,1.30624e+06,1.30624e+06
60,train,61,1.34759e+06,1.34759e+06
60,test,61,1.25795e+06,1.25795e+06
61,train,62,1.2974e+06,1.2974e+06
61,test,62,1.29194e+06,1.29194e+06
62,train,63,1.20877e+06,1.20877e+06
62,test,63,1.24789e+06,1.24789e+06
63,train,64,1.2694e+06,1.2694e+06
63,test,64,1.28036e+06,1.28036e+06
64,train,65,1.24951e+06,1.24951e+06
64,test,65,1.27391e+06,1.27391e+06
65,train,66,727354,727354
65,test,66,680888,680888
66,train,67,1.23985e+06,1.23985e+06
66,test,67,1.21596e+06,1.21596e+06
67,train,68,1.04756e+06,1.04756e+06
67,test,68,996740,996740
68,train,69,1.26514e+06,1.26514e+06
68,test,69,1.26094e+06,1.26094e+06
69,train,70,1.33197e+06,1.33197e+06
69,test,70,1.31368e+06,1.31368e+06
70,train,71,1.23843e+06,1.23843e+06
70,test,71,1.09806e+06,1.09806e+06
71,train,72,1.22969e+06,1.22969e+06
71,test,72,1.26753e+06,1.26753e+06
72,train,73,1.30339e+06,1.30339e+06
72,test,73,1.32732e+06,1.32732e+06
73,train,74,1.24562e+06,1.24562e+06
73,test,74,1.29657e+06,1.29657e+06
74,train,75,1.30435e+06,1.30435e+06
74,test,75,1.31878e+06,1.31878e+06
75,train,76,1.23543e+06,1.23543e+06
75,test,76,1.24835e+06,1.24835e+06
76,train,77,651474,651474
76,test,77,570652,570652
77,train,78,866815,866815
77,test,78,748811,748811
78,train,79,1.2984e+06,1.2984e+06
78,test,79,1.30755e+06,1.30755e+06
79,train,80,1.27069e+06,1.27069e+06
79,test,80,1.28305e+06,1.28305e+06
80,train,81,1.28831e+06,1.28831e+06
80,test,81,1.36805e+06,1.36805e+06
81,train,82,1.24647e+06,1.24647e+06
81,test,82,1.18016e+06,1.18016e+06
82,train,83,748158,748158
82,test,83,600060,600060
83,train,84,1.26055e+06,1.26055e+06
83,test,84,1.25815e+06,1.25815e+06
84,train,85,1.25497e+06,1.25497e+06
84,test,85,1.23834e+06,1.23834e+06
85,train,86,1.2896e+06,1.2896e+06
85,test,86,1.28316e+06,1.28316e+06
86,train,87,1.25802e+06,1.25802e+06
86,test,87,1.25666e+06,1.25666e+06
87,train,88,777530,777530
87,test,88,532271,532271
88,train,89,1.21112e+06,1.21112e+06
88,test,89,1.21526e+06,1.21526e+06
89,train,90,1.24795e+06,1.24795e+06
89,test,90,1.21226e+06,1.21226e+06
90,train,91,1.32263e+06,1.32263e+06
90,test,91,1.31189e+06,1.31189e+06
91,train,92,1.29027e+06,1.29027e+06
91,test,92,1.29769e+06,1.29769e+06
92,train,93,1.24566e+06,1.24566e+06
92,test,93,1.29245e+06,1.29245e+06
93,train,94,757198,757198
93,test,94,670872,670872
94,train,95,674274,674274
94,test,95,724670,724670
95,train,96,1.28103e+06,1.28103e+06
95,test,96,1.29401e+06,1.29401e+06
96,train,97,1.24081e+06,1.24081e+06
96,test,97,1.25426e+06,1.25426e+06
97,train,98,593474,593474
97,test,98,819177,819177
98,train,99,1.25542e+06,1.25542e+06
98,test,99,1.25358e+06,1.25358e+06
99,train,100,1.26551e+06,1.26551e+06
99,test,100,1.26617e+06,1.26617e+06
100,train,101,1.29459e+06,1.29459e+06
100,test,101,1.2897e+06,1.2897e+06
101,train,102,1.3391e+06,1.3391e+06
101,test,102,1.36751e+06,1.36751e+06
102,train,103,667309,667309
102,test,103,785302,785302
103,train,104,1.29553e+06,1.29553e+06
103,test,104,1.30795e+06,1.30795e+06
104,train,105,1.25507e+06,1.25507e+06
104,test,105,1.29592e+06,1.29592e+06
105,train,106,1.20784e+06,1.20784e+06
105,test,106,1.28714e+06,1.28714e+06
106,train,107,735065,735065
106,test,107,709569,709569
107,train,108,1.3434e+06,1.3434e+06
107,test,108,1.37874e+06,1.37874e+06
108,train,109,1.28037e+06,1.28037e+06
108,test,109,1.32334e+06,1.32334e+06
109,train,110,708771,708771
109,test,110,606468,606468
110,train,111,1.26461e+06,1.26461e+06
110,test,111,1.27626e+06,1.27626e+06
111,train,112,1.31001e+06,1.31001e+06
111,test,112,1.27896e+06,1.27896e+06
112,train,113,1.25772e+06,1.25772e+06
112,test,113,1.26042e+06,1.26042e+06
113,train,114,1.29092e+06,1.29092e+06
113,test,114,1.33603e+06,1.33603e+06
114,train,115,1.24241e+06,1.24241e+06
114,test,115,1.24078e+06,1.24078e+06
115,train,116,773173,773173
115,test,116,537796,537796
116,train,117,1.29986e+06,1.29986e+06
116,test,117,1.24459e+06,1.24459e+06
117,train,118,1.27866e+06,1.27866e+06
117,test,118,1.26853e+06,1.26853e+06
118,train,119,1.32555e+06,1.32555e+06
118,test,119,1.3095e+06,1.3095e+06
119,train,120,1.2455e+06,1.2455e+06
119,test,120,1.25568e+06,1.25568e+06
120,train,121,1.18293e+06,1.18293e+06
120,test,121,1.30994e+06,1.30994e+06
121,train,122,1.2508e+06,1.2508e+06
121,test,122,1.25902e+06,1.25902e+06
122,train,123,1.29685e+06,1.29685e+06
122,test,123,1.26515e+06,1.26515e+06
123,train,124,877770,877770
123,test,124,826970,826970
124,train,125,1.26038e+06,1.26038e+06
124,test,125,1.28306e+06,1.28306e+06
125,train,126,1.36264e+06,1.36264e+06
125,test,126,1.32201e+06,1.32201e+06
126,train,127,1.28625e+06,1.28625e+06
126,test,127,1.25981e+06,1.25981e+06
127,train,128,1.29096e+06,1.29096e+06
127,test,128,1.27991e+06,1.27991e+06
128,train,129,1.19189e+06,1.19189e+06
128,test,129,1.25448e+06,1.25448e+06
129,train,130,633742,633742
129,test,130,571107,571107
130,train,131,936146,936146
130,test,131,937468,937468
131,train,132,1.31393e+06,1.31393e+06
131,test,132,1.25906e+06,1.25906e+06
132,train,133,733756,733756
132,test,133,585149,585149
133,train,134,1.26273e+06,1.26273e+06
133,test,134,1.2942e+06,1.2942e+06
134,train,135,468567,468567
134,test,135,595516,595516
135,train,136,1.16018e+06,1.16018e+06
135,test,136,1.20467e+06,1.20467e+06
136,train,137,1.22138e+06,1.22138e+06
136,test,137,1.29052e+06,1.29052e+06
137,train,138,1.29954e+06,1.29954e+06
137,test,138,1.31292e+06,1.31292e+06
138,train,139,1.2089e+06,1.2089e+06
138,test,139,862144,862144
139,train,140,1.25259e+06,1.25259e+06
139,test,140,1.29172e+06,1.29172e+06
140,train,141,1.25086e+06,1.25086e+06
140,test,141,1.28649e+06,1.28649e+06
141,train,142,1.26941e+06,1.26941e+06
141,test,142,1.24307e+06,1.24307e+06
142,train,143,1.19526e+06,1.19526e+06
142,test,143,1.21226e+06,1.21226e+06
143,train,144,1.28951e+06,1.28951e+06
143,test,144,1.26413e+06,1.26413e+06
144,train,145,1.2589e+06,1.2589e+06
144,test,145,1.15391e+06,1.15391e+06
145,train,146,693218,693218
145,test,146,829921,829921
146,train,147,1.34707e+06,1.34707e+06
146,test,147,1.32319e+06,1.32319e+06
147,train,148,1.26948e+06,1.26948e+06
147,test,148,1.26178e+06,1.26178e+06
148,train,149,1.28673e+06,1.28673e+06
148,test,149,1.29299e+06,1.29299e+06
149,train,150,1.36432e+06,1.36432e+06
149,test,150,1.33118e+06,1.33118e+06
150,train,151,1.38094e+06,1.38094e+06
150,test,151,1.37163e+06,1.37163e+06
151,train,152,1.22577e+06,1.22577e+06
151,test,152,1.14926e+06,1.14926e+06
152,train,153,1.32061e+06,1.32061e+06
