iter,train_episode,test_episode,best_r_train,best_s_train,pair_train,pair_test
88,89,89,1.60004e+06,1.67035e+06,1.21112e+06,1.21526e+06
89,90,90,1.60004e+06,1.67035e+06,1.24795e+06,1.21226e+06
90,91,91,1.60004e+06,1.67035e+06,1.32263e+06,1.31189e+06
91,92,92,1.60004e+06,1.67035e+06,1.29027e+06,1.29769e+06
92,93,93,1.60004e+06,1.67035e+06,1.24566e+06,1.29245e+06
93,94,94,1.60004e+06,1.67035e+06,757198,670872
94,95,95,1.60004e+06,1.67035e+06,674274,724670
95,96,96,1.60004e+06,1.67035e+06,1.28103e+06,1.29401e+06
96,97,97,1.60004e+06,1.67035e+06,1.24081e+06,1.25426e+06
97,98,98,1.60004e+06,1.67035e+06,593474,819177
98,99,99,1.60004e+06,1.67035e+06,1.25542e+06,1.25358e+06
99,100,100,1.60004e+06,1.67035e+06,1.26551e+06,1.26617e+06
100,101,101,1.60004e+06,1.67035e+06,1.29459e+06,1.2897e+06
101,102,102,1.60004e+06,1.67035e+06,1.3391e+06,1.36751e+06
102,103,103,1.60004e+06,1.67035e+06,667309,785302
103,104,104,1.60004e+06,1.67035e+06,1.29553e+06,1.30795e+06
104,105,105,1.60004e+06,1.67035e+06,1.25507e+06,1.29592e+06
105,106,106,1.60004e+06,1.67035e+06,1.20784e+06,1.28714e+06
106,107,107,1.60004e+06,1.67035e+06,735065,709569
107,108,108,1.60004e+06,1.67035e+06,1.3434e+06,1.37874e+06
108,109,109,1.60004e+06,1.67035e+06,1.28037e+06,1.32334e+06
109,110,110,1.60004e+06,1.67035e+06,708771,606468
110,111,111,1.60004e+06,1.67035e+06,1.26461e+06,1.27626e+06
111,112,112,1.60004e+06,1.67035e+06,1.31001e+06,1.27896e+06
112,113,113,1.60004e+06,1.67035e+06,1.25772e+06,1.26042e+06
113,114,114,1.60004e+06,1.67035e+06,1.29092e+06,1.33603e+06
114,115,115,1.60004e+06,1.67035e+06,1.24241e+06,1.24078e+06
115,116,116,1.60004e+06,1.67035e+06,773173,537796
116,117,117,1.60004e+06,1.67035e+06,1.29986e+06,1.24459e+06
117,118,118,1.60004e+06,1.67035e+06,1.27866e+06,1.26853e+06
118,119,119,1.60004e+06,1.67035e+06,1.32555e+06,1.3095e+06
119,120,120,1.60004e+06,1.67035e+06,1.2455e+06,1.25568e+06
120,121,121,1.60004e+06,1.67035e+06,1.18293e+06,1.30994e+06
121,122,122,1.60004e+06,1.67035e+06,1.2508e+06,1.25902e+06
122,123,123,1.60004e+06,1.67035e+06,1.29685e+06,1.26515e+06
123,124,124,1.60004e+06,1.67035e+06,877770,826970
124,125,125,1.60004e+06,1.67035e+06,1.26038e+06,1.28306e+06
125,126,126,1.60004e+06,1.67035e+06,1.36264e+06,1.32201e+06
126,127,127,1.60004e+06,1.67035e+06,1.28625e+06,1.25981e+06
127,128,128,1.60004e+06,1.67035e+06,1.29096e+06,1.27991e+06
128,129,129,1.60004e+06,1.67035e+06,1.19189e+06,1.25448e+06
129,130,130,1.60004e+06,1.67035e+06,633742,571107
130,131,131,1.60004e+06,1.67035e+06,936146,937468
131,132,132,1.60004e+06,1.67035e+06,1.31393e+06,1.25906e+06
132,133,133,1.60004e+06,1.67035e+06,733756,585149
133,134,134,1.60004e+06,1.67035e+06,1.26273e+06,1.2942e+06
134,135,135,1.60004e+06,1.67035e+06,468567,595516
135,136,136,1.60004e+06,1.67035e+06,1.16018e+06,1.20467e+06
136,137,137,1.60004e+06,1.67035e+06,1.22138e+06,1.29052e+06
137,138,138,1.60004e+06,1.67035e+06,1.29954e+06,1.31292e+06
138,139,139,1.60004e+06,1.67035e+06,1.2089e+06,862144
139,140,140,1.60004e+06,1.67035e+06,1.25259e+06,1.29172e+06
140,141,141,1.60004e+06,1.67035e+06,1.25086e+06,1.28649e+06
141,142,142,1.60004e+06,1.67035e+06,1.26941e+06,1.24307e+06
142,143,143,1.60004e+06,1.67035e+06,1.19526e+06,1.21226e+06
143,144,144,1.60004e+06,1.67035e+06,1.28951e+06,1.26413e+06
144,145,145,1.60004e+06,1.67035e+06,1.2589e+06,1.15391e+06
145,146,146,1.60004e+06,1.67035e+06,693218,829921
146,147,147,1.60004e+06,1.67035e+06,1.34707e+06,1.32319e+06
147,148,148,1.60004e+06,1.67035e+06,1.26948e+06,1.26178e+06
148,149,149,1.60004e+06,1.67035e+06,1.28673e+06,1.29299e+06
149,150,150,1.60004e+06,1.67035e+06,1.36432e+06,1.33118e+06
150,151,151,1.60004e+06,1.67035e+06,1.38094e+06,1.37163e+06
151,152,152,1.60004e+06,1.67035e+06,1.22577e+06,1.14926e+06
